id,specilization_name,college_dunia_link,target_study_link,careers_360_link,course_id,status,is_deleted,created_on,created_by,updated_by,updated_on,spec_normalized
3,Bengali,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,bengali
4,Business Economics,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,business economics
4,Business Economics,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,be
4,Business Economics,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,b e
5,Economics,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,economics
6,English,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,english
7,Fine Arts,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,f a
7,Fine Arts,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,fa
7,Fine Arts,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,fine arts
8,Geography,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,geography
9,Hindi,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,hindi
10,History,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,history
11,Home Science,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,hs
11,Home Science,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,home science
11,Home Science,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,h s
12,Human Resource Management,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,hrm
12,Human Resource Management,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,mgmt
12,Human Resource Management,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,human resource management
12,Human Resource Management,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,h r m
13,Material Management,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,mm
13,Material Management,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,m m
13,Material Management,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,material management
13,Material Management,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,mgmt
14,Music,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,music
15,Office Administration and Secreterial Practice,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,office administration and secreterial practice
15,Office Administration and Secreterial Practice,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,o a a s p
15,Office Administration and Secreterial Practice,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,oaasp
16,Political Science,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,ps
16,Political Science,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,pol sci
16,Political Science,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,p s
16,Political Science,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,political science
17,Psycology,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,psycology
18,Sociology,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,sociology
19,Film,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,film
20,Journalism,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,journalism
21,Maths,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,maths
22,Pass Course,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,pc
22,Pass Course,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,pass course
22,Pass Course,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,p c
23,PR / Advertising,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,pr / advertising
23,PR / Advertising,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,p/a
23,PR / Advertising,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,p / a
24,Statistics,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,statistics
25,Vocational Course,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,v c
25,Vocational Course,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,vc
25,Vocational Course,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,vocational course
26,Arts & Humanities,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,a & h
26,Arts & Humanities,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,a&h
26,Arts & Humanities,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,arts & humanities
27,Communication,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,communication
28,Sanskrit,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,sanskrit
30,Architecture,,,,3,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,architecture
32,Communication Design,,,,4,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,c d
32,Communication Design,,,,4,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,cd
32,Communication Design,,,,4,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,communication design
36,Education,,,,5,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,education
40,Anthropology,,,,7,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,anthropology
43,Biology,,,,7,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,biology
45,Botony,,,,7,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,botony
48,Electronics,,,,7,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31,electronics
