id,specilization_name,college_dunia_link,target_study_link,careers_360_link,course_id,status,is_deleted,created_on,created_by,updated_by,updated_on
3,Bengali,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
4,Business Economics,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
5,Economics,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
6,English,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
7,Fine Arts,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
8,Geography,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
9,Hindi,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
10,History,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
11,Home Science,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
12,Human Resource Management,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
13,Material Management,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
14,Music,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
15,Office Administration and Secreterial Practice,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
16,Political Science,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
17,Psycology,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
18,Sociology,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
19,Film,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
20,Journalism,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
21,Maths,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
22,Pass Course,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
23,PR / Advertising,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
24,Statistics,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
25,Vocational Course,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
26,Arts & Humanities,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
27,Communication,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
28,Sanskrit,,,,2,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
30,Architecture,,,,3,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
32,Communication Design,,,,4,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
36,Education,,,,5,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
40,Anthropology,,,,7,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
43,Biology,,,,7,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
45,Botony,,,,7,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
48,Electronics,,,,7,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
49,General,,,,7,Active,No,15-05-2023 06:29,0,0,03-01-2024 15:31
